PostType,Likes,Shares,Comments,Views,Hashtags,Location,Time,Total Engagement
videos,952,176,153,6519,"#photo, #inspiration, #nature, #fun, #health",Toronto,4/27/2023 3:21,1281
videos,151,58,16,731,"#health, #fun",New York,8/25/2023 12:09,225
static-image,526,142,76,7721,"#fun, #inspiration, #nature",Paris,10/15/2023 3:53,744
story,676,130,129,8657,"#inspiration, #nature, #photo, #fun, #life",Toronto,5/16/2023 11:06,935
carousel,746,210,125,4181,#photo,Singapore,4/11/2023 2:14,1081
carousel,1040,404,202,4673,#meme,Mumbai,5/29/2023 0:08,1646
story,832,118,126,5234,"#health, #travel, #food, #meme, #tech",Berlin,11/2/2023 4:27,1076
carousel,1522,594,101,5091,"#fun, #life, #travel, #tech",Singapore,9/14/2023 21:46,2217
reels,556,163,59,2398,#tech,Toronto,6/12/2023 10:45,778
story,709,245,134,2664,"#meme, #fun, #food, #inspiration, #tech",Toronto,3/2/2023 6:32,1088
carousel,1381,349,128,9499,#health,Paris,11/13/2023 14:37,1858
reels,2386,358,280,9536,"#travel, #tech, #food",Mumbai,7/3/2023 21:18,3024
story,1133,266,195,5875,"#travel, #life, #meme, #food",Sydney,7/29/2023 17:35,1594
videos,348,77,41,4027,"#travel, #food, #life, #photo",Singapore,10/16/2023 17:18,466
story,154,26,11,680,"#travel, #food, #nature, #health",Toronto,8/26/2023 21:24,191
story,1600,453,160,8668,"#travel, #life, #photo",Mumbai,6/22/2023 21:10,2213
story,90,15,18,1437,"#fun, #meme, #photo, #health",Paris,8/23/2023 2:46,123
carousel,97,33,19,594,"#travel, #photo, #meme",Berlin,12/27/2023 0:20,149
videos,204,33,30,3100,#tech,Los Angeles,4/27/2023 21:40,267
carousel,613,73,30,4448,"#food, #tech",London,1/24/2023 13:59,716
reels,473,61,29,5031,"#travel, #food, #tech",Los Angeles,6/18/2023 11:29,563
reels,423,110,69,4039,"#photo, #fun",Berlin,1/15/2023 6:33,602
videos,597,138,55,2828,"#health, #nature",Toronto,1/1/2023 10:05,790
static-image,1269,261,73,6793,"#food, #life, #tech, #travel",Paris,2/14/2023 7:09,1603
static-image,561,162,106,9852,"#life, #travel, #health",Sydney,8/21/2023 1:25,829
carousel,363,69,18,6542,"#inspiration, #fun, #photo, #meme",Toronto,3/3/2023 5:29,450
story,1779,524,284,8518,"#nature, #meme",Berlin,1/5/2023 13:39,2587
static-image,1638,451,239,6494,"#tech, #meme, #nature",London,9/27/2023 19:50,2328
